NOC,prob_first_medal,pred_total_mu
AIN,0.498,0.7820754324277297
GUI,0.388,0.5428669064510906
MLI,0.3686,0.5281219030408625
ANG,0.3546,0.5022249610510782
SSD,0.26,0.32910962239974306
LBN,0.1846,0.20864586450558661
LBR,0.1734,0.19459087507070413
PLE,0.1664,0.19102676250080874
GBS,0.1636,0.17544051413554215
ESA,0.161,0.18975229671311575
RWA,0.1594,0.17297594823810597
GAM,0.1592,0.17078153799051507
MAD,0.1542,0.1672419542809153
GUM,0.153,0.16885077452515584
PNG,0.1508,0.16465187679977014
NEP,0.1494,0.16895895741416012
LBA,0.1438,0.1496555837786262
NCA,0.1404,0.16465428908802474
VAN,0.138,0.15250915229580067
ARU,0.1288,0.15210580750362432
COD,0.1286,0.14531247126986155
MON,0.1228,0.14651616570501502
BIH,0.1198,0.12472449008243779
BAN,0.1172,0.12585059097004744
MLT,0.116,0.12576308764627683
ANT,0.1132,0.12576308764073332
YEM,0.1118,0.10598795046682333
BEN,0.1112,0.12479099331274301
MHL,0.1102,0.11942283367916887
CAF,0.1088,0.11066059637034999
MDV,0.1074,0.12847751469058874
IVB,0.1068,0.1100644488282852
OMA,0.105,0.10787227026637582
BOL,0.1034,0.10599066060348925
TLS,0.0994,0.10933967034497864
FSM,0.099,0.10980905437138525
VIN,0.0984,0.10874781528033046
CAY,0.0974,0.10641906088107543
COM,0.0972,0.11058581120212967
CGO,0.0942,0.10869085639051368
LAO,0.0932,0.10722605166189564
LES,0.0908,0.08870166670946526
SLE,0.0908,0.10719493455859896
CHA,0.0884,0.08713091981431356
TUV,0.0876,0.08091660261025081
SKN,0.0872,0.08885004793388672
CAM,0.087,0.0871309251230081
HON,0.0868,0.09634622409370523
BHU,0.0858,0.08594772910322628
GEQ,0.0832,0.08737941558642304
STP,0.0826,0.08713159573549117
SWZ,0.0826,0.08607751229256833
SEY,0.0802,0.0849642521732229
MAW,0.08,0.08500498079994988
KIR,0.08,0.0889441047668304
BRU,0.0774,0.08930054330924125
PLW,0.076,0.08713703297276136
MYA,0.067,0.06670213544639225
AND,0.0666,0.06670747733728276
MTN,0.063,0.06670368633600204
COK,0.0612,0.06328285866732249
ASA,0.061,0.06328307681981217
SOL,0.058,0.06555750894957559
SOM,0.0468,0.04463389745167621
NRU,0.0436,0.04549138539404671
LIE,0.0434,0.042753216939863274
BIZ,0.0412,0.043843495523428595
