NOC,P_first_medal_2028
SAA,0.626
SAM,0.47
GUI,0.465
MLI,0.464
ANG,0.4598
SSD,0.2954
RHO,0.2316
ROT,0.2294
LBN,0.2002
ESA,0.176
YAR,0.1722
MAL,0.1716
PLE,0.1686
LBR,0.1646
GAM,0.1552
GUM,0.1516
NEP,0.15
RWA,0.147
NCA,0.1432
PNG,0.1424
MAD,0.141
VAN,0.1304
LBA,0.1288
ARU,0.1278
GBS,0.1268
COD,0.1134
MLT,0.1132
BAN,0.1128
YMD,0.1112
ANT,0.105
MDV,0.105
BEN,0.1024
BIH,0.0986
CGO,0.0902
TLS,0.0888
COM,0.0888
LAO,0.0882
MHL,0.088
SLE,0.0864
BOL,0.0858
IVB,0.0842
YEM,0.0832
VIN,0.0822
HON,0.0812
OMA,0.081
CAF,0.079
CAY,0.0788
BHU,0.0692
STP,0.0682
BRU,0.0652
SKN,0.0634
LES,0.0634
GEQ,0.0634
CHA,0.0618
KIR,0.0608
MAW,0.0606
PLW,0.0606
CAM,0.0606
SEY,0.0594
SWZ,0.0594
FSM,0.0574
SOL,0.045
TUV,0.045
AND,0.0438
NBO,0.0436
UNK,0.0424
COK,0.0418
MYA,0.0412
ASA,0.041
MTN,0.0402
VNM,0.038
NRU,0.0258
NFL,0.0244
BIZ,0.0244
SOM,0.0224
LIE,0.0224
